decision,decision_note,cde_public_id,version,crdc_name,crdc_domain,vd_type,registration_status,workflow_status,match_status,mc2_module,mc2_attribute,existing_cde_on_attribute,confidence,rationale,cv_consistency,recommended_action
confirm,,11524544,1.00,dbGaP Study Accession,Administrative,Non-enumerated,Standard,RELEASED,exact_id_match,study,Study dbGaP Accession Id,11524544,high,CDE public ID already present as CDE:<id> in the Properties column for this attribute.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add CRDC_CDE:11524544 alongside the existing CDE:11524544 tag so the required-pipeline set is uniformly discoverable by tag.
confirm,consider sequencing as well,16072578,1.00,Equipment Model,Administrative,Enumerated,Qualified,RELEASED,new_semantic_match,imagingLevel1,Image Platform Model,,medium,"Direct conceptual match, though the CRDC CDE is domain-general (any equipment) while Image Platform Model is imaging-scoped; no other equipment-model attribute exists in the model.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: add CRDC_CDE:16072578 to Image Platform Model; also consider extending this mapping to a sequencing-platform equivalent if/when one exists (user note: ""consider sequencing as well"")."
confirm,,16065945,1.00,Equipment Model Version Number,Administrative,Non-enumerated,Standard,RELEASED,no_fit_found,imagingLevel1,Image Platform Model Version,,low,No equipment-version field exists; pairs with Image Platform Model (16072578).,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add new attribute Image Platform Model Version to imagingLevel1.
confirm,,16002760,1.00,Funding Agency Organization Name,Administrative,Enumerated,Standard,RELEASED,new_semantic_match,consortium,Consortium Funding Agency,,high,Direct conceptual match; attribute has no existing CDE.,"RESOLVED (live data, 2026-09-03): confirmed real mismatch -- model had only 2 values (NIH, NIH-NCI) vs 21 real funding-agency names. Fixed: Valid Values replaced with the real 21-value list.","Confirmed: add CRDC_CDE:16002760 to Consortium Funding Agency. Note: CV check found 0/2 PV overlap -- verify Consortium Funding Agency's values (""NIH"", ""NIH-NCI"") against the CDE's real permissible-value list before relying on this as a clean enumerated match."
confirm,,16002823,1.00,Grant Funding Identifier,Administrative,Non-enumerated,Standard,RELEASED,new_semantic_match,grant,Grant Number,,high,"Direct conceptual match; attribute has no existing CDE. (A weaker, stale lead from a prior caDSR match run also pointed ""Project Grant Number"" at this CDE — Grant Number in the grant module is the more direct, canonical fit.)","n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add CRDC_CDE:16002823 to Grant Number.
confirm,consider sequencing as well,16065939,1.00,Manufacturer Name,Administrative,Enumerated,Qualified,RELEASED,new_semantic_match,imagingLevel1,Image Platform Manufacturer,,high,"Direct conceptual match (""producer of the equipment""); attribute has no existing CDE.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: add CRDC_CDE:16065939 to Image Platform Manufacturer; also consider a sequencing-equipment-manufacturer counterpart (user note: ""consider sequencing as well"")."
confirm,,2668478,1.00,Person Academic Degree Suffix Abbreviation Text,Administrative,Enumerated,Standard,RELEASED,no_fit_found,person,(none recommended),,n/a,"MC2's person module models a single combined ""Name"" display string, not decomposed name components; the CRDC CDE covers the academic degree suffix component specifically.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: no new attribute recommended — this would require decomposing Name into structured components, a model design change rather than an attribute addition. Flagged in Open Questions."
confirm,,2517550,1.00,Person Email Address Text,Administrative,Non-enumerated,Standard,RELEASED,new_semantic_match,person,Email,,high,Direct conceptual match; attribute has no existing CDE.,"n/a -- not enumerated, or attribute has no Valid Values to check",Confirmed: add CRDC_CDE:2517550 to Email.
confirm,,2179591,2.00,Person Family/Last Name,Administrative,Non-enumerated,Standard,RELEASED,no_fit_found,person,(none recommended),,n/a,"MC2's person module models a single combined ""Name"" display string, not decomposed name components; the CRDC CDE covers the family/last name component specifically.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: no new attribute recommended — this would require decomposing Name into structured components, a model design change rather than an attribute addition. Flagged in Open Questions."
confirm,,2006475,2.00,Person Genealogy Suffix Code,Administrative,Enumerated,Standard,RELEASED,no_fit_found,person,(none recommended),,n/a,"MC2's person module models a single combined ""Name"" display string, not decomposed name components; the CRDC CDE covers the genealogy suffix component specifically.","n/a -- not enumerated, or attribute has no Valid Values to check","Confirmed: no new attribute recommended — this would require decomposing Name into structured components, a model design change rather than an attribute addition. Flagged in Open Questions."
