Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Smart-seq2,"Switching mechanism at the 5' end of RNA templates (SMART)-based library construction method; Smart-seq2 transcriptome libraries have improved detection, coverage, and accuracy compared to the original Smart-seq method, and are generated with off-the-shelf reagents at lower cost.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0008931,http://www.ebi.ac.uk/efo/EFO_0008931,,
Smart-SeqV4,"Single-cell RNA-seq library construction method using SMART (Switching Mechanism At 5' end of RNA Template) chemistry to generate high-quality cDNA from ultra-low amounts of total RNA or directly from intact cells (<1,000 cells); improves on Smart-seq2 via locked nucleic acid (LNA) technology and an optimized template-switching oligo.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0700016,http://www.ebi.ac.uk/efo/EFO_0700016,,
10xV1.0,"First version (v1) of the 10x Genomics droplet-based single-cell 3' library construction chemistry, in which barcoded gel beads and cells are co-encapsulated in nanoliter droplets for parallel barcoding of transcripts.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0009901,http://www.ebi.ac.uk/efo/EFO_0009901,,
10xV1.1,Minor revision (v1.1) of the first-generation 10x Genomics single-cell 3' library construction chemistry; specific chemistry differences from v1.0 are not documented in public ontology sources.,,,FALSE,,Spatial Library Construction Method,,HTAN,,,,,,
10xV2,"Second version (v2) of the 10x Genomics droplet-based single-cell 3' library construction chemistry, in which the poly(dT) sequence is part of the gel bead oligo (along with the cell barcode and UMI) and the template-switch oligo is supplied in the RT primer.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0009899,http://www.ebi.ac.uk/efo/EFO_0009899,,
10xV3,Third version (v3) of the 10x Genomics droplet-based single-cell 3' library construction chemistry.,,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0009922,http://www.ebi.ac.uk/efo/EFO_0009922,,
10xV3.1,Minor revision (v3.1) of the third-generation 10x Genomics single-cell 3' library construction chemistry.,,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0022980,http://www.ebi.ac.uk/efo/EFO_0022980,,
Drop-seq,"Droplet microfluidics-based method for parallel analysis of mRNA transcripts from thousands of individual cells, in which each cell is co-encapsulated with a barcoded bead in a nanoliter droplet.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0008722,http://www.ebi.ac.uk/efo/EFO_0008722,,
inDropsV2,"Second version (v2) of the inDrop (indexing droplets) single-cell RNA-seq library construction method, a droplet microfluidic platform that uses hydrogel beads to deliver barcoded primers to individual cells.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,,,,
inDropsV3,Third version (v3) of the inDrop (indexing droplets) single-cell RNA-seq library construction method.,,,FALSE,,Spatial Library Construction Method,,HTAN,,,,,,
TruDrop,"Droplet-based microfluidic single-cell library construction platform based on inDrop that incorporates dual indexing to detect index hopping, using standard Illumina sequencing primers for high-throughput sequencing.",,,FALSE,,Spatial Library Construction Method,,HTAN,,,EFO:0700010,http://www.ebi.ac.uk/efo/EFO_0700010,,
Nextera XT,Illumina library preparation kit that uses tagmentation (simultaneous enzymatic fragmentation and adapter tagging) to construct sequencing-ready libraries from very low quantities of input DNA/cDNA; commonly used as a downstream library-prep step following methods such as Smart-seq2.,,,FALSE,,Spatial Library Construction Method,,HTAN,,,,,,
